代码,名称,板块类型,板块名称,行业代码,行业名称
603527,,行业分类,申万行业,240302,未知行业
002842,,行业分类,申万行业,240502,银行
300697,,行业分类,申万行业,240302,未知行业
000933,,行业分类,申万行业,240301,未知行业
603876,,行业分类,申万行业,240301,未知行业
601069,,行业分类,申万行业,240401,银行
603978,,行业分类,申万行业,240201,未知行业
603045,,行业分类,申万行业,240201,未知行业
300811,,行业分类,申万行业,240202,未知行业
603115,,行业分类,申万行业,240301,未知行业
600077,,行业分类,申万行业,430101,机械设备
688350,,行业分类,申万行业,220309,未知行业
688669,,行业分类,申万行业,220503,未知行业
300931,,行业分类,申万行业,640204,化工
605368,,行业分类,申万行业,410301,机械设备
300930,,行业分类,申万行业,240201,未知行业
688689,,行业分类,申万行业,270102,未知行业
603608,,行业分类,申万行业,350205,医药生物
605258,,行业分类,申万行业,270202,未知行业
605183,,行业分类,申万行业,220603,未知行业
003026,,行业分类,申万行业,270103,未知行业
688571,,行业分类,申万行业,220305,未知行业
300920,,行业分类,申万行业,220501,未知行业
300922,,行业分类,申万行业,650301,化工
300923,,行业分类,申万行业,640501,化工
688557,,行业分类,申万行业,640106,化工
300927,,行业分类,申万行业,220204,未知行业
300909,,行业分类,申万行业,270301,未知行业
605177,,行业分类,申万行业,370101,医药生物
300907,,行业分类,申万行业,630101,化工
688578,,行业分类,申万行业,370102,医药生物
000006,,行业分类,申万行业,430101,机械设备
600708,,行业分类,申万行业,430101,机械设备
600692,,行业分类,申万行业,430101,机械设备
600510,,行业分类,申万行业,430101,机械设备
688199,,行业分类,申万行业,220309,未知行业
603538,,行业分类,申万行业,370101,医药生物
603098,,行业分类,申万行业,620401,化工
603676,,行业分类,申万行业,370102,医药生物
300436,,行业分类,申万行业,370102,医药生物
300660,,行业分类,申万行业,630101,化工
300636,,行业分类,申万行业,370101,医药生物
002675,,行业分类,申万行业,370102,医药生物
002102,,行业分类,申万行业,370101,医药生物
600851,,行业分类,申万行业,370102,医药生物
603637,,行业分类,申万行业,620402,化工
000597,,行业分类,申万行业,370102,医药生物
300630,,行业分类,申万行业,370102,医药生物
300434,,行业分类,申万行业,370102,医药生物
002618,,行业分类,申万行业,270202,未知行业
600870,,行业分类,申万行业,450201,机械设备
300621,,行业分类,申万行业,620201,化工
600613,,行业分类,申万行业,370102,医药生物
300626,,行业分类,申万行业,630101,化工
603819,,行业分类,申万行业,630101,化工
002923,,行业分类,申万行业,370102,医药生物
300519,,行业分类,申万行业,370201,医药生物
002940,,行业分类,申万行业,370102,医药生物
300765,,行业分类,申万行业,370101,医药生物
603351,,行业分类,申万行业,370101,医药生物
000766,,行业分类,申万行业,370102,医药生物
600781,,行业分类,申万行业,370102,医药生物
603858,,行业分类,申万行业,370201,医药生物
002892,,行业分类,申万行业,630101,化工
002898,,行业分类,申万行业,370102,医药生物
002900,,行业分类,申万行业,370102,医药生物
600771,,行业分类,申万行业,370201,医药生物
002907,,行业分类,申万行业,370201,医药生物
300517,,行业分类,申万行业,620401,化工
603229,,行业分类,申万行业,370101,医药生物
688266,,行业分类,申万行业,370102,医药生物
600200,,行业分类,申万行业,370102,医药生物
002550,,行业分类,申万行业,370102,医药生物
300233,,行业分类,申万行业,370102,医药生物
603963,,行业分类,申万行业,370201,医药生物
300026,,行业分类,申万行业,370201,医药生物
603139,,行业分类,申万行业,370201,医药生物
603896,,行业分类,申万行业,370201,医药生物
600812,,行业分类,申万行业,370102,医药生物
300534,,行业分类,申万行业,370201,医药生物
601206,,行业分类,申万行业,370501,医药生物
600939,,行业分类,申万行业,620101,化工
603320,,行业分类,申万行业,630101,化工
300108,,行业分类,申万行业,370201,医药生物
300584,,行业分类,申万行业,370102,医药生物
002789,,行业分类,申万行业,620201,化工
002801,,行业分类,申万行业,630101,化工
300705,,行业分类,申万行业,370102,医药生物
000813,,行业分类,申万行业,370102,医药生物
002728,,行业分类,申万行业,370201,医药生物
002811,,行业分类,申万行业,620201,化工
002856,,行业分类,申万行业,620201,化工
002864,,行业分类,申万行业,370201,医药生物
000788,,行业分类,申万行业,370102,医药生物
000931,,行业分类,申万行业,370102,医药生物
002873,,行业分类,申万行业,370201,医药生物
300573,,行业分类,申万行业,370102,医药生物
300723,,行业分类,申万行业,370102,医药生物
300583,,行业分类,申万行业,370101,医药生物
002822,,行业分类,申万行业,620201,化工
002823,,行业分类,申万行业,630101,化工
300497,,行业分类,申万行业,370101,医药生物
002020,,行业分类,申万行业,370102,医药生物
603811,,行业分类,申万行业,370102,医药生物
688157,,行业分类,申万行业,220305,未知行业
300801,,行业分类,申万行业,220309,未知行业
688321,,行业分类,申万行业,370102,医药生物
688129,,行业分类,申万行业,220305,未知行业
003019,,行业分类,申万行业,270301,未知行业
688221,,行业分类,申万行业,370102,医药生物
688529,,行业分类,申万行业,640209,化工
605169,,行业分类,申万行业,410301,机械设备
003015,,行业分类,申万行业,270303,未知行业
003017,,行业分类,申万行业,220203,未知行业
300903,,行业分类,申万行业,270202,未知行业
300902,,行业分类,申万行业,640209,化工
300900,,行业分类,申万行业,650201,化工
688219,,行业分类,申万行业,220503,未知行业
300719,,行业分类,申万行业,650201,化工
688128,,行业分类,申万行业,640209,化工
002955,,行业分类,申万行业,270301,未知行业
003009,,行业分类,申万行业,650101,化工
605198,,行业分类,申万行业,110501,未知行业
605218,,行业分类,申万行业,270301,未知行业
605058,,行业分类,申万行业,270202,未知行业
601568,,行业分类,申万行业,220202,未知行业
605111,,行业分类,申万行业,270102,未知行业
688093,,行业分类,申万行业,270401,未知行业
003002,,行业分类,申万行业,220307,未知行业
003001,,行业分类,申万行业,620404,化工
300889,,行业分类,申万行业,270302,未知行业
002998,,行业分类,申万行业,220401,未知行业
688577,,行业分类,申万行业,640101,化工
