股票代码,市场类型,行业链接
002882,sz,630805
002883,sz,620601
002884,sz,640106
002885,sz,270401
002886,sz,220503
002887,sz,760104
002888,sz,270503
002889,sz,420803
002890,sz,640207
002891,sz,110404
002892,sz,630101
002893,sz,410104
002895,sz,220802
002896,sz,640108
002897,sz,730204
002898,sz,370102
002899,sz,360502
002900,sz,370102
002901,sz,370503
002902,sz,730204
002903,sz,640101
002905,sz,720602
002906,sz,280206
002907,sz,370201
002908,sz,710301
002909,sz,220316
002910,sz,340702
002911,sz,410301
002912,sz,710103
002913,sz,270202
002915,sz,220311
002916,sz,270202
002917,sz,220307
002918,sz,360306
002919,sz,720401
002920,sz,710401
002921,sz,280205
002922,sz,270401
002923,sz,370102
002925,sz,270504
002926,sz,490101
002927,sz,630802
002928,sz,421001
002929,sz,730103
002930,sz,420806
002931,sz,640108
002932,sz,370504
002933,sz,650201
002935,sz,650501
002936,sz,480401
002937,sz,280206
002938,sz,270202
002939,sz,490101
002940,sz,370102
002941,sz,620306
002942,sz,220803
002943,sz,640101
002945,sz,490101
002946,sz,340702
002947,sz,270504
002948,sz,480401
002949,sz,620601
002950,sz,370503
002951,sz,630306
002952,sz,270301
002953,sz,630805
002955,sz,270301
002956,sz,340802
002957,sz,640702
002958,sz,480501
002959,sz,330301
002960,sz,640204
002961,sz,490303
002962,sz,270303
002963,sz,620201
002965,sz,280205
002966,sz,480401
002967,sz,460802
002968,sz,430301
002969,sz,360203
002970,sz,710103
002971,sz,220309
002972,sz,640501
002973,sz,760103
002975,sz,640702
002976,sz,280205
002977,sz,650501
002978,sz,240504
002979,sz,640701
002980,sz,630804
002981,sz,270504
002982,sz,110703
002983,sz,270302
002984,sz,280204
002985,sz,650201
002986,sz,750303
002987,sz,710401
002988,sz,240301
002989,sz,620201
002990,sz,710103
002991,sz,340801
002992,sz,270302
002993,sz,270504
002995,sz,720501
002996,sz,240301
002997,sz,280205
002998,sz,220401
002999,sz,220805
003000,sz,340801
003001,sz,620404
003002,sz,220307
003003,sz,360206
003004,sz,710102
003005,sz,710301
003006,sz,770101
003007,sz,710401
003008,sz,460802
003009,sz,650101
003010,sz,450603
003011,sz,360306
003012,sz,360306
003013,sz,620601
003015,sz,270303
003016,sz,350209
003017,sz,220203
003018,sz,360204
003019,sz,270301
003020,sz,370102
003021,sz,630101
003022,sz,630504
003023,sz,330303
003025,sz,640101
003026,sz,270103
003027,sz,760101
003028,sz,330601
003029,sz,710401
003030,sz,110504
003031,sz,730206
003032,sz,461102
003033,sz,280402
003035,sz,410110
003036,sz,640206
003037,sz,610102
003038,sz,240301
003039,sz,760102
003040,sz,730206
003041,sz,350206
003042,sz,220803
003043,sz,270108
003816,sz,410108
300001,sz,630801
300002,sz,720401
300003,sz,370503
300004,sz,640209
300005,sz,350208
300006,sz,370102
300007,sz,640107
300008,sz,650401
300009,sz,370304
300010,sz,461103
300011,sz,640501
300012,sz,460802
300013,sz,420803
300014,sz,630701
300015,sz,370604
300016,sz,370102
300017,sz,710301
300018,sz,630803
300019,sz,220316
300020,sz,710301
300021,sz,110901
300022,sz,450401
300024,sz,640701
300025,sz,730103
300026,sz,370201
300027,sz,720601
300029,sz,620404
300030,sz,370502
300031,sz,720401
300032,sz,270504
300033,sz,710401
300034,sz,650201
300035,sz,630702
300036,sz,710402
300037,sz,630702
300039,sz,370201
300040,sz,410110
300041,sz,220316
300042,sz,710103
300043,sz,720401
300044,sz,710301
300045,sz,650501
300046,sz,270102
300047,sz,710401
300048,sz,640702
300049,sz,370502
300050,sz,730103
300051,sz,630502
300052,sz,720401
300053,sz,270104
300054,sz,270601
300055,sz,750303
300056,sz,760101
300057,sz,240301
300058,sz,720501
300059,sz,490101
300061,sz,720501
300062,sz,630801
300063,sz,720501
300065,sz,650401
300066,sz,640107
300067,sz,220308
300068,sz,630705
300069,sz,630805
300070,sz,760102
300071,sz,720501
300072,sz,220309
300073,sz,630702
300074,sz,710401
